37.241861, -115.796917, 10
37.242361, -115.796917, 10
37.242361, -115.796417, 10
37.242861, -115.796417, 10
37.242861, -115.795917, 10
37.243361, -115.795917, 10
37.243361, -115.795417, 10
37.243861, -115.795417, 10
37.243861, -115.794917, 10
37.244361, -115.794917, 10
37.244361, -115.794417, 10
37.244861, -115.794417, 10
37.244861, -115.793917, 10
37.245361, -115.793917, 10
37.245361, -115.793417, 10
37.245861, -115.793417, 10
37.245861, -115.792917, 10
37.246361, -115.792917, 10
37.246361, -115.792417, 10
37.246861, -115.792417, 10
37.246861, -115.791917, 10
37.247361, -115.791917, 10
37.247361, -115.792917, 10
37.247861, -115.792917, 10
37.247861, -115.793917, 10
37.248361, -115.793917, 10
37.248361, -115.793417, 10
37.247361, -115.793417, 10
37.247361, -115.793917, 10
37.246861, -115.793917, 10
37.246861, -115.793417, 10
37.246361, -115.793417, 10
37.246361, -115.793917, 10
37.245861, -115.793917, 10
37.245861, -115.793417, 10
37.245361, -115.793417, 10

